Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos,mv_neg,mv_neu,mv_com
4/1/2021,23.91,24.5,22.5,23.370001,23.370001,44970400,1001,0.031607321,0.299009539,0.085686314,0.08402997,0.830290709,0.009565135,0.161366633,0.097649351,0.740976024,0.130361838
5/1/2021,23.18,24.67,22.889999,24.6,24.6,29050400,788,0.047192108,0.320303354,0.092508883,0.073022843,0.834461929,0.03867868,0.177942893,0.090427665,0.73161802,0.174811168
6/1/2021,24.120001,24.459999,23.25,23.540001,23.540001,32732900,848,0.039441985,0.332182129,0.100514151,0.081152123,0.818345519,0.035553774,0.183300708,0.099768868,0.716932783,0.160851179
7/1/2021,24.02,25.190001,23.67,25,25,32240000,766,0.021254921,0.325078446,0.090963446,0.075947781,0.833101828,0.03376658,0.171946475,0.088261097,0.739791123,0.170910836
8/1/2021,25.700001,26.440001,24.700001,25.200001,25.200001,41313800,603,0.00206383,0.31658032,0.084792703,0.079713101,0.835502488,0.007813267,0.163252073,0.094004975,0.742764511,0.136523383
11/1/2021,24.610001,26.6,24.309999,25.93,25.93,32609000,519,0.042881592,0.306212489,0.098181118,0.058431599,0.843379576,0.080962042,0.186545279,0.065947977,0.747493256,0.21387842
12/1/2021,26.34,26.42,25.51,26.18,26.18,26887200,505,0.050480149,0.315263886,0.100584158,0.071112871,0.82830297,0.078976238,0.184582178,0.081867327,0.733550495,0.211713267
13/1/2021,25.709999,27.43,25.129999,25.5,25.5,51216600,1173,0.009155498,0.318132301,0.097316283,0.079734015,0.822938619,0.044553026,0.177004263,0.102202046,0.720789429,0.147801876
14/1/2021,25.450001,25.620001,24.370001,24.92,24.92,32908000,894,0.040831754,0.316616961,0.095034676,0.06839821,0.836560403,0.06840906,0.175282998,0.085975391,0.738752796,0.190692506
15/1/2021,26.26,28,25.459999,25.639999,25.639999,92285500,2185,0.04069751,0.314590678,0.099131808,0.060370252,0.840491533,0.084651304,0.187502975,0.074421053,0.738072769,0.220241236
19/1/2021,26.809999,27.540001,26,26.620001,26.620001,48675800,751,0.020212843,0.342585177,0.093985353,0.077696405,0.828318242,0.031544474,0.170131824,0.096576565,0.733291611,0.138831558
20/1/2021,27.290001,27.299999,25.700001,26.34,26.34,37459000,524,0.017998984,0.32687326,0.088854962,0.09239313,0.81876145,0.013270038,0.157099237,0.105448473,0.737438931,0.123510687
21/1/2021,26.42,26.68,25.299999,25.98,25.98,29891400,528,0.043708042,0.337127522,0.090458333,0.066897727,0.842647727,0.052038636,0.16450947,0.084804924,0.750685606,0.167895455
22/1/2021,25.85,32.650002,25.82,32.580002,32.580002,156844700,2224,0.047274238,0.32384346,0.102536421,0.060148381,0.837319694,0.086164029,0.169918165,0.079060252,0.751025629,0.178490513
25/1/2021,34.459999,39.580002,29.559999,36.23,36.23,191345300,490,0.056588861,0.375955136,0.100059184,0.055816327,0.84412449,0.143521633,0.1721,0.069646939,0.758263265,0.270047755
26/1/2021,35.139999,36.869999,34.32,35.369999,35.369999,65870000,156,0.042444639,0.357484266,0.112205128,0.054596154,0.833211538,0.142878205,0.173737179,0.070775641,0.755455128,0.241884615
27/1/2021,32.970001,45,32.25,39,39,170758800,749,0.046919164,0.266632917,0.094244326,0.057539386,0.848214953,0.083552737,0.162711615,0.077198932,0.760096128,0.16916235
28/1/2021,39.540001,42,33.099998,35.66,35.66,85250700,521,0.056594147,0.309723974,0.101907869,0.058174664,0.839911708,0.071240883,0.189391555,0.069047985,0.741539347,0.208631286
29/1/2021,36.610001,38.009998,34.66,35.18,35.18,42030900,249,0.062341877,0.341341351,0.114192771,0.075473896,0.810349398,0.069831325,0.199686747,0.088654618,0.711690763,0.195195181
1/2/2021,35.330002,35.619999,32.580002,33.959999,33.959999,43460900,311,0.048054935,0.309277372,0.107003215,0.065270096,0.827726688,0.088000965,0.200118971,0.077636656,0.722247588,0.221260129
2/2/2021,34.099998,34.200001,30.5,31.02,31.02,69647900,493,0.040662387,0.32667849,0.105580122,0.092279919,0.802133874,0.045635091,0.162156187,0.101833671,0.736010142,0.122991481
3/2/2021,32.389999,32.950001,31.379999,31.76,31.76,35312000,292,0.071566838,0.334960633,0.103006849,0.065325342,0.831681507,0.070298973,0.193859589,0.077534247,0.728623288,0.205715068
4/2/2021,32.580002,33.18,31.049999,32.049999,32.049999,31565000,4,-0.225,0.325,0.108,0.11875,0.77325,-0.054275,0.105,0.148,0.747,-0.16485
5/2/2021,32.610001,35.200001,31.75,34.049999,34.049999,62375300,4,-0.225,0.325,0.108,0.11875,0.77325,-0.054275,0.105,0.148,0.747,-0.16485
8/2/2021,37.220001,39.220001,35.889999,36.049999,36.049999,72376000,446,0.030705684,0.325509779,0.100008969,0.073264574,0.826744395,0.057940359,0.179867713,0.081087444,0.73906278,0.188742825
9/2/2021,36.900002,38.255001,36.130001,38.169998,38.169998,44243200,358,0.05976312,0.266144275,0.105449721,0.047156425,0.847393855,0.104283799,0.187564246,0.058751397,0.753667598,0.22958743
10/2/2021,38.150002,38.240002,35,35.700001,35.700001,45177200,333,0.060677439,0.285521512,0.097279279,0.061012012,0.841708709,0.090715015,0.183804805,0.071192192,0.745015015,0.237955856
11/2/2021,35.790001,35.98,32.610001,33.110001,33.110001,52094900,642,0.01866154,0.302132678,0.087629283,0.08103271,0.831338006,0.047807009,0.152054517,0.090663551,0.757283489,0.15366324
12/2/2021,33.360001,33.650002,31.34,31.91,31.91,60925600,893,0.039859601,0.335539044,0.091708847,0.077008959,0.831276596,0.045093617,0.180539754,0.094540873,0.724923852,0.178478163
16/2/2021,30.02,30.440001,27.299999,27.84,27.84,180294300,1403,0.046968799,0.365772757,0.100650036,0.081062723,0.818282965,0.042337206,0.173600143,0.107501782,0.718908054,0.145039416
17/2/2021,27.99,29.73,27,27.08,27.08,151007000,573,0.05440618,0.34497469,0.104664921,0.077719023,0.81761082,0.083197382,0.177982548,0.102589878,0.719425829,0.174874171
18/2/2021,24.99,26.309999,24.5,25.17,25.17,313175100,1709,0.044808494,0.326244615,0.093964892,0.075545933,0.830480398,0.052226858,0.172904623,0.100636044,0.726454067,0.145716559
19/2/2021,27.02,29.959999,26.9,29,29,320063700,3413,0.036511442,0.292819065,0.095669792,0.061376502,0.842957515,0.071856871,0.176739525,0.080963668,0.742295927,0.181522854
22/2/2021,29.959999,30.190001,27.535999,28,28,183049500,1867,0.029661535,0.300402435,0.092915908,0.065911623,0.841174612,0.062094804,0.179431709,0.082953401,0.737613283,0.181750402
23/2/2021,25.959999,27.459999,23.9,26.75,26.75,145289400,950,0.039224573,0.325613095,0.101787368,0.081504211,0.816708421,0.044160737,0.181301053,0.099286316,0.719422105,0.162313579
24/2/2021,26.709999,27.23,25.75,26.389999,26.389999,90095700,906,0.031190827,0.311811083,0.096179912,0.078144592,0.82566777,0.062534106,0.180069536,0.089193157,0.730736203,0.187136976
25/2/2021,25.82,26.440001,23.15,23.959999,23.959999,161776400,1164,0.049658087,0.329379605,0.105679553,0.076500859,0.817812715,0.066704296,0.179554124,0.094879725,0.725563574,0.16809433
26/2/2021,24.200001,24.5,22.700001,23.9,23.9,119588600,1265,0.034399126,0.331473283,0.097837154,0.090796838,0.811363636,0.016540711,0.176388933,0.105750988,0.717860079,0.135082055
1/3/2021,25.190001,25.9,24.620001,24.809999,24.809999,85059900,171,0.106663442,0.342188314,0.121140351,0.056982456,0.821900585,0.13112807,0.175824561,0.074415205,0.749754386,0.186874854
2/3/2021,25,25.59,24.26,24.48,24.48,73997000,467,0.026694287,0.333124121,0.106794433,0.09390364,0.799276231,0.030319272,0.171813704,0.099141328,0.729042827,0.154491863
3/3/2021,24.99,25.167999,23.43,23.59,23.59,79046200,1092,0.030725411,0.298819675,0.105271062,0.07332967,0.821406593,0.054294048,0.173998168,0.089369048,0.736643773,0.149634341
