Date,Open,High,Low,Close,Adj Close,Volume,count,tb_polarity,tb_subjectivity,v_pos,v_neg,v_neu,v_com,mv_pos
4/1/2021,20.25,20.273001,19.84,20,19.115538,6486900,33,0.047668659,0.339906526,0.092787879,0.101242424,0.805969697,0.071339394,0.126090909
5/1/2021,19.969999,20.139999,19.809999,19.889999,19.010401,14297700,59,0.06345235,0.343220798,0.101813559,0.056983051,0.841169492,0.064747458,0.185728814
6/1/2021,19.51,19.67,19.18,19.35,18.494284,16289300,66,-0.010056404,0.408434589,0.108136364,0.099257576,0.792590909,0.051140909,0.188590909
7/1/2021,19.370001,19.889999,19.370001,19.719999,18.847919,8838300,48,0.016697255,0.418778935,0.138020833,0.105125,0.756875,-0.022954167,0.24625
8/1/2021,19.870001,20.129999,19.719999,19.950001,19.067749,6596800,43,0.006616707,0.273952796,0.104953488,0.075627907,0.819418605,0.060132558,0.171744186
11/1/2021,19.709999,20.379999,19.68,19.84,18.962614,8002300,25,-0.066935714,0.384578571,0.0828,0.11176,0.80548,-0.03716,0.17388
12/1/2021,19.93,20.15,19.459999,19.629999,18.7619,7538600,33,-0.00010537,0.375586196,0.107030303,0.077909091,0.815,0.055960606,0.208242424
13/1/2021,19.9,20.1,19.610001,19.93,19.048634,6449900,36,0.089737654,0.38537037,0.129,0.075333333,0.795666667,0.080922222,0.191888889
14/1/2021,20.07,20.24,19.912001,20.16,19.268461,5979500,37,0.040846057,0.315887007,0.071756757,0.074054054,0.854189189,0.036913514,0.161216216
15/1/2021,20.09,20.18,19.57,19.6,18.733227,7098200,30,0.068238264,0.343469829,0.1277,0.0838,0.788433333,0.103456667,0.229533333
19/1/2021,19.5,19.68,19.33,19.540001,18.67588,6679500,52,0.043196741,0.297555197,0.128461538,0.092846154,0.778711538,0.079307692,0.183173077
20/1/2021,19.6,19.91,19.4,19.870001,18.991287,5524400,52,0.162463555,0.337699962,0.127288462,0.060307692,0.812403846,0.110430769,0.203076923
21/1/2021,19.879999,20.08,19.610001,19.969999,19.086863,5051300,46,0.017411264,0.243327307,0.082695652,0.050456522,0.866847826,0.143358696,0.159717391
22/1/2021,19.82,20.139999,19.75,20.049999,19.163326,5070000,34,-0.024826972,0.364920927,0.085529412,0.054911765,0.859617647,0.009094118,0.161147059
25/1/2021,20.25,23.99,20.08,23.190001,22.164467,37726700,15,0.166666667,0.255555556,0.043888889,0,0.956111111,0.084788889,0.252222222
26/1/2021,23.5,23.57,22.200001,22.700001,21.696136,13717800,15,0.09756713,0.386393519,0.094666667,0.099833333,0.8055,0.25105,0.17
27/1/2021,23.73,25.549999,22.559999,23,21.982868,26631000,123,0.028420952,0.206743182,0.069154472,0.042439024,0.888422764,0.041673171,0.176504065
28/1/2021,22.99,23.67,21.09,21.309999,20.367605,13670400,71,0.044501849,0.240552575,0.086732394,0.036676056,0.876591549,0.092319718,0.208577465
29/1/2021,24.299999,24.5,21.16,21.360001,20.415394,21610100,53,0.017796496,0.290763327,0.105773585,0.040811321,0.853358491,0.133128302,0.192716981
1/2/2021,21.629999,22.030001,21.16,21.540001,20.587435,9663600,32,0.027542114,0.298832924,0.0525,0.06225,0.88528125,-0.024609375,0.19259375
2/2/2021,21.83,21.98,20.93,20.940001,20.013968,10117100,34,0.120950577,0.238785792,0.094176471,0.061,0.844823529,0.103170588,0.228735294
3/2/2021,21.6,22.15,21.17,21.209999,20.272026,12375000,23,0.029337118,0.266300165,0.062478261,0.020869565,0.916608696,0.059213043,0.10773913
4/2/2021,21.610001,22.4,21.450001,21.57,20.616106,11477200,2,-0.175,0.191666667,0.17,0.099,0.731,-0.0111,0.258
5/2/2021,21.5,21.749001,21.25,21.629999,20.673452,7321300,2,-0.175,0.191666667,0.17,0.099,0.731,-0.0111,0.258
8/2/2021,21.940001,21.99,21.42,21.620001,20.663897,8350400,60,0.099701732,0.365438773,0.114966667,0.058216667,0.826833333,0.129326667,0.223083333
9/2/2021,21.549999,21.84,21.23,21.25,20.310259,9648600,45,0.024417416,0.363229365,0.076777778,0.092444444,0.8308,0.014682222,0.1824
10/2/2021,21.280001,21.377001,20.610001,20.940001,20.013968,7657900,16,0.03343006,0.414709821,0.1868125,0.08225,0.7309375,0.2475625,0.2479375
11/2/2021,21.01,21.469999,20.549999,20.67,19.755907,7602400,58,0.031438941,0.330904158,0.110344828,0.079465517,0.810155172,0.098425862,0.148396552
12/2/2021,20.77,20.99,20.469999,20.68,19.765467,7575500,59,0.0302019,0.312371065,0.084254237,0.068491525,0.847305085,0.026489831,0.137949153
16/2/2021,20.9,21.129999,20.41,20.57,19.66033,7779300,46,0.023320993,0.253593515,0.071521739,0.046652174,0.881847826,0.09065,0.115456522
17/2/2021,20.549999,20.843,20.040001,20.049999,19.163326,12756200,15,0.137848645,0.432221821,0.159466667,0.0906,0.749866667,0.154853333,0.178266667
18/2/2021,20.1,20.43,19.700001,20.07,19.182442,8815600,72,0.020122698,0.303771361,0.090291667,0.07525,0.834486111,0.028905556,0.15225
19/2/2021,20.290001,20.540001,20.08,20.27,19.373598,5705500,85,0.069691344,0.379944932,0.089258824,0.0568,0.854,0.091776471,0.156023529
22/2/2021,20.290001,20.815001,20.129999,20.41,19.507406,8555400,141,0.067454797,0.29318312,0.112666667,0.045950355,0.841347518,0.129265248,0.187992908
23/2/2021,20.030001,20.08,18.700001,20,19.115538,9944800,94,0.052570951,0.294842669,0.110659574,0.072287234,0.817085106,0.059287234,0.181159574
24/2/2021,19.76,20.389999,19.469999,20.32,19.421385,8657900,84,0.005435541,0.35350238,0.132642857,0.064904762,0.802452381,0.149346429,0.188130952
25/2/2021,20.35,20.982,19.709999,19.9,19.019958,15216700,356,0.049241666,0.29577016,0.11508427,0.059393258,0.825514045,0.123650281,0.175963483
26/2/2021,23.33,23.559999,21.58,21.85,20.883724,50331300,778,0.054911148,0.315245978,0.111102828,0.053664524,0.835226221,0.139126992,0.192922879
1/3/2021,23,24.5,22.521,24.299999,23.225378,35347800,44,0.082651745,0.355579864,0.118727273,0.096954545,0.784318182,0.140047727,0.216295455
2/3/2021,27.34,43,26.950001,41.599998,39.760315,376559100,6075,0.053126089,0.338087486,0.104531852,0.06991358,0.825561811,0.094988477,0.178063045
3/3/2021,37.110001,39.470001,27.559999,28.01,26.771311,178101400,7801,0.061589837,0.352537947,0.107148955,0.070446738,0.822399436,0.10746703,0.172701064
4/3/2021,28,30.940001,25.379999,26.860001,25.672167,67277800,1283,0.064908457,0.347069229,0.111490257,0.0734318,0.815084957,0.100277942,0.167786438
5/3/2021,27.74,27.85,23.48,25.1,23.99,35128700,22,-0.057706715,0.399950975,0.066,0.086409091,0.847590909,-0.094054545,0.101818182
8/3/2021,24.870001,27.76,23.85,24.709999,24.709999,28848000,300,0.059869611,0.348197162,0.101656667,0.07997,0.818346667,0.051952,0.165136667
9/3/2021,25,27.389999,23.93,25.49,25.49,31961400,422,0.048434325,0.30765693,0.097765403,0.081803318,0.820443128,0.048788626,0.152701422
10/3/2021,25.4,28.68,25.02,25.950001,25.950001,42862200,378,0.032143166,0.320559904,0.099166667,0.071621693,0.829201058,0.055740476,0.16937037
